"","Date","Time","Open","High","Low","Close","Vol","OI","TR","TRProb","round(TRProb * 100, 3)"
"551","01/02/2020","17:20",3263,3263,3262.25,3262.5,182,371,0.75,0.245476352411975,24.548
"552","01/02/2020","17:25",3262.5,3263,3262,3262.5,246,283,1,0.3334172721875,33.342
"553","01/02/2020","17:30",3262.5,3262.75,3262.25,3262.5,73,80,0.5,0.171795898856082,17.18
"554","01/02/2020","17:35",3262.25,3263,3262.25,3262.5,163,113,0.75,0.245476352411975,24.548
"555","01/02/2020","17:40",3262.25,3262.5,3262,3262,200,109,0.5,0.171795898856082,17.18
"556","01/02/2020","17:45",3262,3262.25,3261.75,3262,49,172,0.5,0.171795898856082,17.18
"557","01/02/2020","17:50",3261.75,3262,3261.5,3261.75,266,182,0.5,0.171795898856082,17.18
"558","01/02/2020","17:55",3261.75,3261.75,3261.5,3261.5,70,175,0.25,0.114026375399164,11.403
"559","01/02/2020","18:00",3261.25,3261.5,3260.75,3261.25,139,461,0.75,0.245476352411975,24.548
"560","01/02/2020","18:05",3261,3261.75,3260.75,3261.5,377,216,1,0.3334172721875,33.342
"561","01/02/2020","18:10",3261.5,3262.75,3261.25,3262.25,546,626,1.5,0.534306256438473,53.431
"562","01/02/2020","18:15",3262.25,3262.25,3261.25,3261.5,108,404,1,0.3334172721875,33.342
"563","01/02/2020","18:20",3261.75,3262,3260.75,3260.75,110,319,1.25,0.431640706206414,43.164
