"","Date","WORK.Open","WORK.High","WORK.Low","WORK.Close","WORK.Volume","WORK.Adjusted"
"60",2019-09-13,25.620001,25.695999,24.360001,24.49,6592300,24.49
"61",2019-09-16,24.25,26.209999,24.200001,26.1,8264600,26.1
"62",2019-09-17,26,27.41,25.775999,26.219999,8047600,26.219999
"63",2019-09-18,26.26,26.75,24.940001,25.709999,5481600,25.709999
"64",2019-09-19,25.82,25.959999,24.99,25.719999,6447000,25.719999
"65",2019-09-20,25.85,26.1,25.049999,25.370001,9361200,25.370001
"66",2019-09-23,25.209999,25.245001,23.700001,24.16,13344700,24.16
"67",2019-09-24,23.9,24.41,23.02,23.200001,10589900,23.200001
"68",2019-09-25,23,23.24,21.43,22.73,13027600,22.73
"69",2019-09-26,22.41,22.940001,21.959999,22.629999,5559600,22.629999
"70",2019-09-27,22.51,22.754999,21.25,22.059999,6277000,22.059999
"71",2019-09-30,22.75,24.405001,22.26,23.73,12192500,23.73
"72",2019-10-01,24.07,24.07,22.610001,22.870001,8546700,22.870001
"73",2019-10-02,22.27,23.49,22.120001,23.43,6648800,23.43
"74",2019-10-03,23.34,25.42,22.530001,24.93,16875200,24.93
"75",2019-10-04,25.1,25.209999,24.23,24.969999,6648800,24.969999
"76",2019-10-07,24.620001,26.280001,24.57,26.049999,7737100,26.049999
"77",2019-10-08,25.83,26.396999,25.07,25.700001,8026200,25.700001
"78",2019-10-09,25.51,25.59,24.41,24.57,9762700,24.57
"79",2019-10-10,24.299999,24.84,23.27,23.82,11540000,23.82
"80",2019-10-11,24.5,26.360001,24.35,25.99,15066600,25.99
"81",2019-10-14,25.23,25.540001,24.52,24.620001,8207700,24.620001
"82",2019-10-15,24.59,24.98,24.26,24.74,5999200,24.74
"83",2019-10-16,23.09,23.799999,22.690001,23.639999,14567400,23.639999
"84",2019-10-17,23.17,24,22.93,24,6567900,24
"85",2019-10-18,23.5,23.6,21.440001,21.809999,20142900,21.809999
"86",2019-10-21,21.93,22.74,21.870001,22.58,8547500,22.58
"87",2019-10-22,22.52,22.58,20.91,21.030001,11267000,21.030001
"88",2019-10-23,20.73,21.48,20.67,20.84,7690000,20.84
"89",2019-10-24,20.950001,21.48,20.51,20.98,10296200,20.98
"90",2019-10-25,20.75,21.33,20.219999,20.459999,9652000,20.459999
"91",2019-10-28,20.51,21.639999,19.860001,21.469999,13072800,21.469999
"92",2019-10-29,21.65,22.780001,21.25,22.5,11290400,22.5
"93",2019-10-30,22.549999,23.27,22.01,23.25,9806300,23.25
"94",2019-10-31,22.959999,23.23,21.795,22,5699500,22
"95",2019-11-01,21.940001,22.18,21.48,21.940001,5758200,21.940001
"96",2019-11-04,21.92,22.26,21.610001,21.940001,6369200,21.940001
"97",2019-11-05,22,22.16,20.709999,20.75,7118700,20.75
"98",2019-11-06,20.780001,20.950001,20.094999,20.139999,8797100,20.139999
"99",2019-11-07,20,20.549999,19.83,20.34,7598700,20.34
"100",2019-11-08,19.690001,20.5,19.690001,20.5,9390500,20.5
"101",2019-11-11,20.16,20.35,19.915001,20.129999,4510200,20.129999
"102",2019-11-12,20.049999,20.799999,19.530001,20.700001,6743800,20.700001
"103",2019-11-13,20.6,21.379999,20.6,21.299999,5441800,21.299999
"104",2019-11-14,21.049999,21.719999,20.9,21.690001,7630800,21.690001
"105",2019-11-15,21.65,23.1,21.469999,22.860001,10510500,22.860001
"106",2019-11-18,22.639999,23.549999,22.43,23.110001,10133000,23.110001
"107",2019-11-19,22.35,22.35,20.639999,21.18,16123800,21.18
"108",2019-11-20,20.709999,21.860001,20.68,21.700001,6520500,21.700001
"109",2019-11-21,21.5,22.049999,20.940001,21,6814400,21
"110",2019-11-22,21.129999,21.389999,20.959999,21.17,4289900,21.17
"111",2019-11-25,21.34,22.615,21.25,22.5,7325600,22.5
"112",2019-11-26,22.33,22.85,21.860001,22.09,3857600,22.09
"113",2019-11-27,22.1,22.68,22.049999,22.620001,3768200,22.620001
"114",2019-11-29,22.59,23.35,22.52,22.82,3146000,22.82
"115",2019-12-02,22.83,22.83,20.92,22.51,9238400,22.51
"116",2019-12-03,21.76,22.68,21.450001,22.57,5765000,22.57
"117",2019-12-04,22.209999,22.65,21.51,21.66,14466800,21.66
"118",2019-12-05,22.200001,22.83,20.665001,22.780001,34188600,22.780001
"119",2019-12-06,22.459999,23.139999,22.110001,22.5,17866500,22.5
"120",2019-12-09,22.389999,23.07,22.290001,23,9296800,23
"121",2019-12-10,22.52,22.91,22.120001,22.25,10076400,22.25
"122",2019-12-11,21.75,21.950001,20.59,20.75,21980200,20.75
