"","Date","Time","Open","High","Low","Close","Up","Down","temp","PCHG"
"20","02/14/2019","14:30",275.15,275.64,274.64,274.86,4202216,4580028,-0.001054526379062,-0.1054526379062
"21","02/14/2019","15:00",274.86,275.29,274.29,274.37,4732538,4829061,-0.00178431669793966,-0.178431669793966
"22","02/15/2019","09:30",276.34,276.98,276.19,276.77,8955096,8724127,0.00870927593815818,0.870927593815818
"23","02/15/2019","10:30",276.77,277.13,276.13,276.65,5573695,5664534,-0.000433667022806006,-0.0433667022806006
"24","02/15/2019","11:30",276.64,276.9,276.31,276.74,3134032,2732329,0.00032526789711973,0.032526789711973
"25","02/15/2019","12:30",276.75,276.88,276.27,276.28,1956418,1990662,-0.00166359302046626,-0.166359302046626
"26","02/15/2019","13:30",276.28,276.75,276.26,276.61,2287456,1712465,0.00119372764632075,0.119372764632075
"27","02/15/2019","14:30",276.61,277.03,276.5,276.66,2653265,2826943,0.00018074357957687,0.018074357957687
"28","02/15/2019","15:00",276.65,277.41,276.6,277.39,7292879,5917802,0.00263514275760368,0.263514275760368
"29","02/19/2019","09:30",276.49,277.63,276.47,277.53,4389487,3835389,0.000504577247063764,0.0504577247063764
"30","02/19/2019","10:30",277.52,277.58,277.05,277.33,2863830,2692917,-0.000720902601239359,-0.0720902601239359
"31","02/19/2019","11:30",277.33,278.24,277.3,278.08,2767798,2425180,0.00270070922692955,0.270070922692955
"32","02/19/2019","12:30",278.08,278.1,277.79,277.9,1633054,1631247,-0.000647505328569054,-0.0647505328569054
"33","02/19/2019","13:30",277.9,278.27,277.74,278.23,2173826,1547150,0.00118677301613612,0.118677301613612
"34","02/19/2019","14:30",278.23,278.58,278.18,278.26,2983126,2995452,0.000107818649135893,0.0107818649135893
"35","02/19/2019","15:00",278.26,278.48,277.71,277.84,5349098,5396729,-0.00151051997791196,-0.151051997791196
"36","02/20/2019","09:30",277.82,278.23,277.64,278.18,3760345,3667487,0.00122297774316582,0.122297774316582
"37","02/20/2019","10:30",278.19,278.43,278,278.19,2031632,1971197,3.59473012601086e-05,0.00359473012601086
"38","02/20/2019","11:30",278.19,278.54,277.59,277.62,3120742,2994538,-0.00205106133328137,-0.205106133328137
"39","02/20/2019","12:30",277.62,278.32,277.45,278.3,2955993,2366233,0.0024463963848822,0.24463963848822
"40","02/20/2019","13:30",278.31,278.92,277.25,277.85,7076433,5956253,-0.00161826880591498,-0.161826880591498
"41","02/20/2019","14:30",277.85,278.65,277.84,278.34,6373343,4920141,0.00176198826577689,0.176198826577689
"42","02/20/2019","15:00",278.34,278.56,278.11,278.43,4662683,5451319,0.00032329328370384,0.032329328370384
"43","02/21/2019","09:30",277.73,277.98,276.85,276.98,6443055,6632459,-0.00522137986083937,-0.522137986083937
"44","02/21/2019","10:30",276.99,277.67,276.97,277.2,2917213,3029635,0.000793965901176641,0.0793965901176641
"45","02/21/2019","11:30",277.2,277.91,277.12,277.74,2146830,1987024,0.00194615695548617,0.194615695548617
"46","02/21/2019","12:30",277.74,278.1,277.7,277.74,1986969,1861554,0,0
"47","02/21/2019","13:30",277.75,277.8,276.88,277.13,1941698,2075868,-0.00219871409788208,-0.219871409788208
"48","02/21/2019","14:30",277.12,277.18,276.37,276.72,3628118,3781191,-0.00148054554443888,-0.148054554443888
"49","02/21/2019","15:00",276.71,277.47,276.35,277.47,5642024,4267394,0.00270665460536534,0.270665460536534
"50","02/22/2019","09:30",278.11,278.64,277.82,278.42,4664508,4779581,0.00341794572614251,0.341794572614251
"51","02/22/2019","10:30",278.41,279.25,278.25,279.15,3853396,3358963,0.00261850679594833,0.261850679594833
"52","02/22/2019","11:30",279.14,279.36,278.93,278.97,2370281,2399408,-0.000645022598154021,-0.0645022598154021
"53","02/22/2019","12:30",278.98,279.04,278.62,278.86,2161956,3592646,-0.00039438539134018,-0.039438539134018
"54","02/22/2019","13:30",278.86,279.14,278.71,278.75,2420678,2332660,-0.000394540992546766,-0.0394540992546766
"55","02/22/2019","14:30",278.75,278.95,278.04,278.87,5155318,4572409,0.000430400637898565,0.0430400637898565
"56","02/22/2019","15:00",278.88,279.22,278.59,279.14,6947866,5716500,0.00096772466827133,0.096772466827133
"57","02/25/2019","09:30",280.73,281.08,280.44,280.59,5203903,5525222,0.00518108103407044,0.518108103407044
"58","02/25/2019","10:30",280.59,281.31,280.41,280.87,3213863,3178494,0.000997399719347314,0.0997399719347314
"59","02/25/2019","11:30",280.87,281.11,280.45,280.54,2853524,3091231,-0.00117561154239088,-0.117561154239088
"60","02/25/2019","12:30",280.54,280.61,280.08,280.16,2363260,2447780,-0.00135544875398352,-0.135544875398352
"61","02/25/2019","13:30",280.14,280.42,279.95,280.2,2507988,2147524,0.000142765365365172,0.0142765365365172
"62","02/25/2019","14:30",280.2,280.34,279.59,279.61,2899744,2903948,-0.00210785880370423,-0.210785880370423
"63","02/25/2019","15:00",279.61,280.06,279.43,279.57,4836362,4965542,-0.000143066633529365,-0.0143066633529365
"64","02/26/2019","09:30",279.13,279.96,278.94,279.64,6088258,6083741,0.000250353178111062,0.0250353178111062
"65","02/26/2019","10:30",279.64,280.17,278.9,279.98,3596961,3575442,0.00121511040289501,0.121511040289501
"66","02/26/2019","11:30",279.97,280.24,279.47,279.62,2004163,2003210,-0.00128663348700098,-0.128663348700098
"67","02/26/2019","12:30",279.62,279.68,279.24,279.48,1553170,1688088,-0.000500804875428251,-0.0500804875428251
"68","02/26/2019","13:30",279.49,279.69,279.28,279.46,2398925,1788206,-7.15640319484123e-05,-0.00715640319484123
"69","02/26/2019","14:30",279.47,280.3,279.45,279.92,3633043,2793268,0.00164467840713112,0.164467840713112
"70","02/26/2019","15:00",279.91,280.15,279.27,279.34,3393731,4438200,-0.00207417018180767,-0.207417018180767
"71","02/27/2019","09:30",278.52,279.23,277.48,277.83,6340805,6357565,-0.00542026202733759,-0.542026202733759
"72","02/27/2019","10:30",277.83,278.64,277.68,278.5,3923217,3772633,0.00240864351705117,0.240864351705117
"73","02/27/2019","11:30",278.49,279,278.4,278.88,2240155,2306238,0.00136352240437176,0.136352240437176
"74","02/27/2019","12:30",278.88,279.46,278.83,279.3,2186943,2020919,0.00150489117942065,0.150489117942065
"75","02/27/2019","13:30",279.3,279.42,279,279.24,1878414,1673824,-0.000214845848930167,-0.0214845848930167
"76","02/27/2019","14:30",279.25,279.59,279.08,279.1,2234686,2263077,-0.000501486559924658,-0.0501486559924658
"77","02/27/2019","15:00",279.1,279.31,278.89,279.24,3516223,3275030,0.000501486559924658,0.0501486559924658
"78","02/28/2019","09:30",278.96,279.35,278.46,278.74,4541659,4756465,-0.00179217941083731,-0.179217941083731
"79","02/28/2019","10:30",278.75,279.09,278.4,278.93,3149467,3226281,0.000681406592972778,0.0681406592972778
"80","02/28/2019","11:30",278.93,279.45,278.88,279.39,1755195,1641108,0.00164780091733974,0.164780091733974
"81","02/28/2019","12:30",279.39,279.44,279.09,279.13,1305725,1589971,-0.000931032080431216,-0.0931032080431216
"82","02/28/2019","13:30",279.13,279.32,278.94,279.2,1664152,1846766,0.000250747766972204,0.0250747766972204
"83","02/28/2019","14:30",279.19,279.19,278.67,278.93,3063188,3544713,-0.000967516603880725,-0.0967516603880725
"84","02/28/2019","15:00",278.92,279.19,278.32,278.57,7453377,7809120,-0.0012914800001349,-0.12914800001349
"85","03/01/2019","09:30",280.44,280.88,279.55,279.76,6444373,7004444,0.00426271847091897,0.426271847091897
"86","03/01/2019","10:30",279.75,279.94,279.22,279.37,3395625,3405988,-0.00139502463916497,-0.139502463916497
"87","03/01/2019","11:30",279.37,279.54,278.82,279.51,2886848,2772249,0.000501002014487995,0.0501002014487995
"88","03/01/2019","12:30",279.51,279.88,279.39,279.7,2070782,2204298,0.00067953007747068,0.067953007747068
"89","03/01/2019","13:30",279.7,280.44,279.69,280.42,2457682,2141163,0.00257087908507092,0.257087908507092
"90","03/01/2019","14:30",280.43,280.45,280.07,280.23,3326907,3039052,-0.000677784740117815,-0.0677784740117815
"91","03/01/2019","15:00",280.24,280.76,280.14,280.48,7588274,7261230,0.000891726620056765,0.0891726620056765
"92","03/04/2019","09:30",281.6,281.87,280.97,281.53,5351694,5407547,0.00373659266449256,0.373659266449256
"93","03/04/2019","10:30",281.52,281.61,279.53,279.55,5123200,5198788,-0.00705784636476281,-0.705784636476281
"94","03/04/2019","11:30",279.56,279.65,277.04,277.67,8930765,9185068,-0.00674780924405738,-0.674780924405738
"95","03/04/2019","12:30",277.68,278.04,276.84,277.95,5561400,5546998,0.00100788317088174,0.100788317088174
"96","03/04/2019","13:30",277.96,278.96,277.8,278.91,3582713,3571372,0.00344790773639758,0.344790773639758
"97","03/04/2019","14:30",278.91,279.06,278.39,278.73,3465445,4250995,-0.000645577814545106,-0.0645577814545106
"98","03/04/2019","15:00",278.74,279.49,278.61,279.41,5324466,5300804,0.00243666584172164,0.243666584172164
"99","03/05/2019","09:30",279.55,279.57,278.41,278.79,5156513,5461223,-0.00222142692569438,-0.222142692569438
"100","03/05/2019","10:30",278.79,279.43,278.6,279.29,3018346,2544632,0.00179185827759998,0.179185827759998
"101","03/05/2019","11:30",279.29,279.68,279.05,279.18,2108167,2137142,-0.000393933430346216,-0.0393933430346216
"102","03/05/2019","12:30",279.19,279.61,278.95,278.97,1423172,1373045,-0.000752485926396318,-0.0752485926396318
"103","03/05/2019","13:30",278.98,279.45,278.87,279.41,1797360,1674064,0.00157598800483694,0.157598800483694
"104","03/05/2019","14:30",279.41,279.69,279.26,279.33,2651878,2033398,-0.000286358594504321,-0.0286358594504321
"105","03/05/2019","15:00",279.32,279.76,279.05,279.06,3906704,3922928,-0.00096706610448738,-0.096706610448738
"106","03/06/2019","09:30",279.15,279.16,278,278.04,4719259,5224039,-0.00366182423177541,-0.366182423177541
"107","03/06/2019","10:30",278.04,278.53,277.67,278.04,4125662,4247506,0,0
"108","03/06/2019","11:30",278.05,278.19,277.32,277.42,3346972,3983257,-0.00223238489714106,-0.223238489714106
"109","03/06/2019","12:30",277.42,277.8,277.06,277.19,3026367,3417950,-0.00082941170619133,-0.082941170619133
"110","03/06/2019","13:30",277.19,277.97,277.19,277.74,2608570,3035853,0.00198223264228137,0.198223264228137
"111","03/06/2019","14:30",277.75,277.85,276.97,277.25,2729474,3052900,-0.00176579804075772,-0.176579804075772
"112","03/06/2019","15:00",277.25,277.71,277.2,277.3,4815200,4477194,0.000180326391255647,0.0180326391255647
"113","03/07/2019","09:30",276.83,276.99,274.36,275.06,11180319,10484539,-0.0081106969351703,-0.81106969351703
"114","03/07/2019","10:30",275.05,275.48,274.64,275.35,5024384,5231512,0.0010537600219287,0.10537600219287
"115","03/07/2019","11:30",275.35,275.89,275.25,275.54,3723526,4056714,0.000689792907962783,0.0689792907962783
"116","03/07/2019","12:30",275.54,276.3,275.08,275.93,3457590,3224319,0.00141440174449059,0.141440174449059
"117","03/07/2019","13:30",275.93,275.97,274.9,275.16,2767759,3128724,-0.00279446370313075,-0.279446370313075
"118","03/07/2019","14:30",275.17,275.24,274.07,274.41,5130369,6265079,-0.00272940832143043,-0.272940832143043
"119","03/07/2019","15:00",274.41,275.18,274.4,275.09,5974637,6183969,0.00247497851542366,0.247497851542366
"120","03/08/2019","09:30",272.93,273.46,272.42,273.08,8838951,9194574,-0.0073335243017274,-0.73335243017274
"121","03/08/2019","10:30",273.08,273.89,272.72,273.63,4859715,4857506,0.00201203631009772,0.201203631009772
"122","03/08/2019","11:30",273.63,273.85,272.86,273.16,2654611,2980017,-0.00171912476728853,-0.171912476728853
"123","03/08/2019","12:30",273.16,273.2,272.49,272.78,1900140,2863228,-0.00139209459415923,-0.139209459415923
"124","03/08/2019","13:30",272.78,273.39,272.62,273.31,2305308,2949085,0.0019410725939295,0.19410725939295
"125","03/08/2019","14:30",273.31,274.19,273.29,273.37,4400290,4642185,0.000219506842178419,0.0219506842178419
"126","03/08/2019","15:00",273.36,274.65,273.28,274.53,5474787,5370767,0.00423435566055907,0.423435566055907
"127","03/11/2019","09:30",275.26,276.81,275.23,276.73,4846429,5029108,0.00798175699259573,0.798175699259573
"128","03/11/2019","10:30",276.73,277.59,276.58,277.56,3441793,3372349,0.00299482444335641,0.299482444335641
"129","03/11/2019","11:30",277.56,277.98,277.38,277.63,2904005,2962064,0.000252165926514891,0.0252165926514891
"130","03/11/2019","12:30",277.61,278.14,277.61,278.11,2014637,1772698,0.00172742692395822,0.172742692395822
"131","03/11/2019","13:30",278.12,278.25,277.95,278.1,2085095,2074357,-3.59576419022289e-05,-0.00359576419022289
"132","03/11/2019","14:30",278.09,278.52,277.98,278.28,3448907,3189194,0.000647039815521389,0.0647039815521389
"133","03/11/2019","15:00",278.27,278.62,278.26,278.5,5440401,4740759,0.000790258311898384,0.0790258311898384
"134","03/12/2019","09:30",279.06,279.62,278.85,279.62,4785363,4819293,0.00401347919233963,0.401347919233963
"135","03/12/2019","10:30",279.61,280,279.19,279.35,4090110,3943141,-0.000966062654520705,-0.0966062654520705
"136","03/12/2019","11:30",279.35,279.99,279.24,279.76,2727262,2296915,0.00146661684996285,0.146661684996285
"137","03/12/2019","12:30",279.76,279.79,279.43,279.68,2115587,1928956,-0.000286000287950117,-0.0286000287950117
"138","03/12/2019","13:30",279.68,280.07,279.52,279.66,3445510,2121325,-7.15128544657162e-05,-0.00715128544657162
"139","03/12/2019","14:30",279.66,279.81,278.99,279.4,3290911,3397886,-0.000930132789843441,-0.0930132789843441
"140","03/12/2019","15:00",279.38,279.76,279.12,279.47,6480768,4745347,0.00025050548559058,0.025050548559058
"141","03/13/2019","09:30",280.48,281.15,280.3,280.87,4523975,4731907,0.00499697652546427,0.499697652546427
"142","03/13/2019","10:30",280.87,281.99,280.87,281.98,4147125,4002681,0.00394421760329866,0.394421760329866
"143","03/13/2019","11:30",281.98,282.1,281.49,281.64,3601364,3691497,-0.00120648678628221,-0.120648678628221
"144","03/13/2019","12:30",281.63,282.02,281.49,281.91,2041407,1689444,0.000958211412150689,0.0958211412150689
"145","03/13/2019","13:30",281.9,282.38,281.7,282.08,2869401,2335909,0.000602847586476329,0.0602847586476329
"146","03/13/2019","14:30",282.08,282.08,281.11,281.33,5090904,4422788,-0.00266236113313667,-0.266236113313667
"147","03/13/2019","15:00",281.33,281.74,281.18,281.33,4331103,4798001,0,0
"148","03/14/2019","09:30",281.37,281.55,280.67,281.08,3750616,4265967,-0.000889031192426337,-0.0889031192426337
"149","03/14/2019","10:30",281.07,281.58,280.98,281.28,2801338,2782704,0.000711288172815294,0.0711288172815294
"150","03/14/2019","11:30",281.28,281.84,281.21,281.43,2508731,2485665,0.000533134309157468,0.0533134309157468
"151","03/14/2019","12:30",281.43,281.62,281.22,281.31,1430142,1310281,-0.00042648470632578,-0.042648470632578
"152","03/14/2019","13:30",281.32,281.41,280.94,281.18,2342264,2525492,-0.000462230447881851,-0.0462230447881851
"153","03/14/2019","14:30",281.18,281.35,280.88,281.27,2812710,2395802,0.000320028449704246,0.0320028449704246
"154","03/14/2019","15:00",281.27,281.5,281.1,281.19,3829179,3718812,-0.000284464674962237,-0.0284464674962237
"155","03/15/2019","09:30",280.54,281.1,280.33,280.79,4991960,5033554,-0.00142353844460175,-0.142353844460175
"156","03/15/2019","10:30",280.79,281.2,280.37,281.16,2757423,2891526,0.00131684332580306,0.131684332580306
"157","03/15/2019","11:30",281.16,281.95,280.96,281.81,3853802,3775147,0.0023091826876529,0.23091826876529
"158","03/15/2019","12:30",281.81,282.21,281.73,281.75,2556082,2394617,-0.000212932075472239,-0.0212932075472239
"159","03/15/2019","13:30",281.75,281.94,281.33,281.45,2523654,2649072,-0.00106534100985023,-0.106534100985023
"160","03/15/2019","14:30",281.45,281.7,281.23,281.47,3511545,2763348,7.10580544600603e-05,0.00710580544600603
"161","03/15/2019","15:00",281.47,281.49,280.91,281.35,5507378,5504695,-0.000426424085207877,-0.0426424085207877
"162","03/18/2019","09:30",281.55,282.62,281.53,282.37,4697324,5201511,0.00361882180213158,0.361882180213158
"163","03/18/2019","10:30",282.37,282.66,281.5,281.67,3601278,3455688,-0.00248209474285321,-0.248209474285321
"164","03/18/2019","11:30",281.66,281.82,281.3,281.67,2982064,2949900,0,0
"165","03/18/2019","12:30",281.67,282.03,281.47,281.92,1698905,1411239,0.000887169809248967,0.0887169809248967
"166","03/18/2019","13:30",281.92,282.19,281.86,282.07,1891970,1623038,0.00053192433744087,0.053192433744087
"167","03/18/2019","14:30",282.06,282.29,281.84,281.94,2434341,2650944,-0.000460984742476356,-0.0460984742476356
"168","03/18/2019","15:00",281.94,282.56,281.94,282.39,5556208,3912526,0.00159481188445909,0.159481188445909
"169","03/19/2019","09:30",283.51,283.79,283.15,283.28,4068815,4465803,0.00314671357640961,0.314671357640961
"170","03/19/2019","10:30",283.27,283.59,282.98,283.48,2611652,2873474,0.000705766138406894,0.0705766138406894
"171","03/19/2019","11:30",283.48,284.36,283.38,283.99,3289542,2986734,0.00179745233161377,0.179745233161377
"172","03/19/2019","12:30",283.99,284.09,282.63,283.45,6576539,6537422,-0.0019032855033565,-0.19032855033565
"173","03/19/2019","13:30",283.45,283.61,282.74,283.12,2158867,2554935,-0.0011649047331046,-0.11649047331046
"174","03/19/2019","14:30",283.13,283.39,281.97,282.08,4497840,6089628,-0.00368011738764817,-0.368011738764817
"175","03/19/2019","15:00",282.09,282.51,281.41,282.48,7849628,6690963,0.00141703297057116,0.141703297057116
"176","03/20/2019","09:30",282.17,282.23,281.08,281.44,4770592,5169700,-0.00368847063088307,-0.368847063088307
"177","03/20/2019","10:30",281.44,281.85,281.24,281.6,2483617,2480966,0.000568343294639284,0.0568343294639284
"178","03/20/2019","11:30",281.59,281.68,280.65,281.15,2811901,2767935,-0.00159928954567601,-0.159928954567601
"179","03/20/2019","12:30",281.14,281.14,280.32,280.84,3153482,3031234,-0.00110322258916273,-0.110322258916273
"180","03/20/2019","13:30",280.85,283.15,280.81,283.11,8056201,7518028,0.00805040255230338,0.805040255230338
"181","03/20/2019","14:30",283.11,283.5,282.46,282.59,6689552,6292183,-0.00183843078118873,-0.183843078118873
"182","03/20/2019","15:00",282.59,282.59,281.42,281.52,6253941,6849772,-0.00379359090683362,-0.379359090683362
"183","03/21/2019","09:30",280.63,282.72,280.59,282.61,5322151,5172758,0.00386436231521436,0.386436231521436
"184","03/21/2019","10:30",282.62,283.61,282.48,283.31,3987701,3744793,0.00247384915534266,0.247384915534266
"185","03/21/2019","11:30",283.31,284.25,283.18,283.46,3828000,3881359,0.000529315254873097,0.0529315254873097
"186","03/21/2019","12:30",283.46,284.09,283.26,284.09,2222983,2106703,0.00222006962825194,0.222006962825194
"187","03/21/2019","13:30",284.09,284.8,283.77,284.78,4535621,4405639,0.00242586298583713,0.242586298583713
"188","03/21/2019","14:30",284.78,285.18,284.43,284.67,5349470,5150700,-0.000386337699072037,-0.0386337699072037
"189","03/21/2019","15:00",284.67,285.12,284.47,284.67,7015393,6321085,0,0
"190","03/22/2019","09:30",283.22,283.8,281.73,282.12,8720048,9025899,-0.00899810231379838,-0.899810231379838
"191","03/22/2019","10:30",282.13,282.62,281.07,281.18,6494442,6930741,-0.00333747868821632,-0.333747868821632
"192","03/22/2019","11:30",281.17,281.43,279.6,279.95,8608379,8678096,-0.00438401785685993,-0.438401785685993
"193","03/22/2019","12:30",279.94,280.63,279.33,280.1,5558296,5941377,0.0005356664711611,0.05356664711611
"194","03/22/2019","13:30",280.1,281.1,279.65,280.85,4357382,4428920,0.00267403671237876,0.267403671237876
"195","03/22/2019","14:30",280.85,281.51,280.28,280.32,5973023,5963579,-0.00188891123041479,-0.188891123041479
"196","03/22/2019","15:00",280.31,280.35,279.18,279.25,8167509,9466603,-0.00382436979871681,-0.382436979871681
"197","03/25/2019","09:30",278.88,280.02,277.71,278.37,8477434,8349251,-0.00315627391611262,-0.315627391611262
"198","03/25/2019","10:30",278.36,280.19,278.25,280.12,4527869,4638628,0.00626691875411911,0.626691875411911
"199","03/25/2019","11:30",280.13,280.15,278.81,279.28,2990322,3261787,-0.00300321999053654,-0.300321999053654
"200","03/25/2019","12:30",279.28,279.42,278.31,278.77,3329743,3168731,-0.00182779371735542,-0.182779371735542
"201","03/25/2019","13:30",278.76,279.01,277.64,277.95,3356725,3841034,-0.00294582767994633,-0.294582767994633
"202","03/25/2019","14:30",277.95,279.45,277.94,279.21,3480993,3239824,0.00452294546625076,0.452294546625076
"203","03/25/2019","15:00",279.21,279.38,278.79,279.04,4008551,3928924,-0.000609046145114256,-0.0609046145114256
"204","03/26/2019","09:30",280.99,282.04,280.97,281.68,5359688,5852295,0.00941653412618226,0.941653412618226
"205","03/26/2019","10:30",281.7,282.18,281.22,281.53,2874082,3122564,-0.00053266100938032,-0.053266100938032
"206","03/26/2019","11:30",281.53,281.87,280.65,280.73,2756582,2770752,-0.00284566051240454,-0.284566051240454
"207","03/26/2019","12:30",280.73,280.93,280.22,280.54,2291597,2238282,-0.0006770360334869,-0.06770360334869
"208","03/26/2019","13:30",280.55,280.57,279.73,279.78,2314615,2776004,-0.0027127372432405,-0.27127372432405
"209","03/26/2019","14:30",279.77,280.6,279.56,280.03,3690100,3469425,0.000893160238721435,0.0893160238721435
"210","03/26/2019","15:00",280.02,281.09,279.86,281.03,4690588,3991052,0.00356468491396544,0.356468491396544
"211","03/27/2019","09:30",281.11,281.76,280.47,281.31,4591496,4442260,0.000995838898671941,0.0995838898671941
"212","03/27/2019","10:30",281.31,281.47,278.86,278.9,5048508,5347464,-0.00860396946620057,-0.860396946620057
"213","03/27/2019","11:30",278.89,279.07,277.93,278.95,6081971,5650495,0.000179259658094288,0.0179259658094288
"214","03/27/2019","12:30",278.96,279.87,278.67,279.73,3599474,3541019,0.00279229794086167,0.279229794086167
"215","03/27/2019","13:30",279.72,280.2,279.46,279.89,2727108,2731152,0.000571816605408948,0.0571816605408948
"216","03/27/2019","14:30",279.88,280.16,279.41,279.6,1025517,1005036,-0.00103665847815293,-0.103665847815293
