"","Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","ADX","TrigLevel","DateTime"
"319","12/30/2019","20:50",3228,3228.25,3227.75,3227.75,71,133,3227.64,3227.49,26.62,20,"12/30/2019 20:50"
"320","12/30/2019","20:55",3228,3228.25,3227.75,3227.75,87,62,3227.69,3227.49,27.52,20,"12/30/2019 20:55"
"321","12/30/2019","21:00",3227.75,3228,3227.75,3227.75,3,86,3227.72,3227.5,28.36,20,"12/30/2019 21:00"
"322","12/30/2019","21:05",3227.75,3228,3226.75,3227,189,367,3227.67,3227.46,26.46,20,"12/30/2019 21:05"
"323","12/30/2019","21:10",3227,3227.25,3227,3227,15,639,3227.58,3227.44,24.69,20,"12/30/2019 21:10"
"324","12/30/2019","21:15",3227,3227.25,3226.75,3226.75,132,205,3227.5,3227.4,23.61,20,"12/30/2019 21:15"
"325","12/30/2019","21:20",3226.75,3227.5,3226.75,3227.25,170,43,3227.44,3227.4,21.99,20,"12/30/2019 21:20"
"326","12/30/2019","21:25",3227.25,3227.25,3227,3227.25,93,101,3227.39,3227.4,20.48,20,"12/30/2019 21:25"
"327","12/30/2019","21:30",3227.25,3227.25,3226.75,3227,52,148,3227.28,3227.42,19.67,20,"12/30/2019 21:30"
"328","12/30/2019","21:35",3227,3227.25,3226.75,3226.75,114,95,3227.17,3227.4,18.92,20,"12/30/2019 21:35"
"329","12/30/2019","21:40",3226.75,3227,3226.5,3226.75,154,163,3227.06,3227.38,18.8,20,"12/30/2019 21:40"
"330","12/30/2019","21:45",3227,3227.25,3226.75,3227.25,195,33,3227,3227.36,17.95,20,"12/30/2019 21:45"
"331","12/30/2019","21:50",3227.25,3227.5,3227,3227.25,89,112,3227.03,3227.35,16.82,20,"12/30/2019 21:50"
"332","12/30/2019","21:55",3227.25,3227.5,3227,3227,66,88,3227.03,3227.31,15.77,20,"12/30/2019 21:55"
"333","12/30/2019","22:00",3227.25,3227.5,3227.25,3227.5,122,15,3227.11,3227.31,14.79,20,"12/30/2019 22:00"
"334","12/30/2019","22:05",3227.25,3227.75,3227.25,3227.5,156,37,3227.14,3227.29,14.56,20,"12/30/2019 22:05"
"335","12/30/2019","22:10",3227.75,3228,3227.5,3227.75,120,92,3227.19,3227.29,14.93,20,"12/30/2019 22:10"
"336","12/30/2019","22:15",3227.75,3227.75,3227.25,3227.5,51,187,3227.25,3227.26,14.49,20,"12/30/2019 22:15"
"337","12/30/2019","22:20",3227.5,3227.5,3227,3227.25,94,123,3227.31,3227.24,13.53,20,"12/30/2019 22:20"
"338","12/30/2019","22:25",3227.25,3227.5,3227.25,3227.5,105,28,3227.39,3227.22,12.63,20,"12/30/2019 22:25"
"339","12/30/2019","22:30",3227.25,3227.75,3227.25,3227.5,98,46,3227.42,3227.21,12.34,20,"12/30/2019 22:30"
"340","12/30/2019","22:35",3227.5,3227.75,3227.25,3227.5,105,84,3227.44,3227.24,12.07,20,"12/30/2019 22:35"
"341","12/30/2019","22:40",3227.5,3227.75,3227.25,3227.5,196,72,3227.5,3227.26,11.82,20,"12/30/2019 22:40"
"342","12/30/2019","22:45",3227.25,3227.5,3227,3227.25,67,110,3227.47,3227.29,11.18,20,"12/30/2019 22:45"
"343","12/30/2019","22:50",3227.25,3227.25,3227,3227.25,49,11,3227.44,3227.29,10.59,20,"12/30/2019 22:50"
"344","12/30/2019","22:55",3227.25,3227.5,3227.25,3227.25,67,76,3227.39,3227.29,10.43,20,"12/30/2019 22:55"
"345","12/30/2019","23:00",3227.25,3227.5,3227,3227,61,140,3227.33,3227.29,9.9,20,"12/30/2019 23:00"
"346","12/30/2019","23:05",3227.25,3227.25,3226.75,3227,80,218,3227.31,3227.31,10.12,20,"12/30/2019 23:05"
"347","12/30/2019","23:10",3226.75,3227,3226.5,3226.5,99,155,3227.19,3227.29,10.93,20,"12/30/2019 23:10"
"348","12/30/2019","23:15",3226.5,3227,3226.5,3226.75,115,12,3227.11,3227.26,11.68,20,"12/30/2019 23:15"
"349","12/30/2019","23:20",3227,3227.25,3226.75,3227,141,92,3227.06,3227.25,11.49,20,"12/30/2019 23:20"
"350","12/30/2019","23:25",3227,3227.25,3226.75,3227,124,139,3227,3227.25,11.32,20,"12/30/2019 23:25"
"351","12/30/2019","23:30",3227,3227.25,3227,3227,59,45,3226.97,3227.22,11.15,20,"12/30/2019 23:30"
"352","12/30/2019","23:35",3227,3227.25,3227,3227,56,41,3226.94,3227.19,11,20,"12/30/2019 23:35"
"353","12/30/2019","23:40",3227,3227.25,3227,3227,51,47,3226.92,3227.15,10.86,20,"12/30/2019 23:40"
"354","12/30/2019","23:45",3227.25,3227.5,3227,3227.25,112,51,3226.94,3227.14,10.45,20,"12/30/2019 23:45"
"355","12/30/2019","23:50",3227,3227.25,3227,3227,7,139,3226.94,3227.13,10.07,20,"12/30/2019 23:50"
"356","12/30/2019","23:55",3227.25,3227.25,3227,3227,45,41,3227,3227.1,9.71,20,"12/30/2019 23:55"
"357","12/31/2019","00:00",3227,3227.25,3226.75,3227,54,18,3227.03,3227.07,9.7,20,"12/31/2019 00:00"
"358","12/31/2019","00:05",3227.25,3227.75,3227.25,3227.5,111,76,3227.08,3227.07,10.13,20,"12/31/2019 00:05"
"359","12/31/2019","00:10",3227.25,3227.5,3227.25,3227.5,16,107,3227.14,3227.07,10.53,20,"12/31/2019 00:10"
"360","12/31/2019","00:15",3227.25,3227.5,3227.25,3227.25,19,47,3227.17,3227.07,10.9,20,"12/31/2019 00:15"
"361","12/31/2019","00:20",3227.25,3227.5,3227.25,3227.25,12,33,3227.19,3227.07,11.25,20,"12/31/2019 00:20"
"362","12/31/2019","00:25",3227.25,3227.5,3227.25,3227.25,6,20,3227.22,3227.07,11.57,20,"12/31/2019 00:25"
"363","12/31/2019","00:30",3227.25,3227.5,3227.25,3227.25,13,32,3227.22,3227.08,11.86,20,"12/31/2019 00:30"
"364","12/31/2019","00:35",3227.5,3227.5,3227.25,3227.25,1,52,3227.25,3227.1,12.14,20,"12/31/2019 00:35"
"365","12/31/2019","00:40",3227.25,3227.5,3227.25,3227.5,21,6,3227.31,3227.15,12.39,20,"12/31/2019 00:40"
"366","12/31/2019","00:45",3227.25,3227.5,3227.25,3227.5,58,9,3227.36,3227.19,12.63,20,"12/31/2019 00:45"
"367","12/31/2019","00:50",3227.5,3227.75,3227.5,3227.5,35,40,3227.36,3227.22,13.96,20,"12/31/2019 00:50"
"368","12/31/2019","00:55",3227.25,3227.5,3227.25,3227.25,5,62,3227.33,3227.24,13.64,20,"12/31/2019 00:55"
"369","12/31/2019","01:00",3227.5,3227.5,3227.25,3227.25,15,151,3227.33,3227.25,13.35,20,"12/31/2019 01:00"
"370","12/31/2019","01:05",3227.25,3227.5,3227.25,3227.25,22,26,3227.33,3227.26,13.08,20,"12/31/2019 01:05"
"371","12/31/2019","01:10",3227.25,3227.25,3226.75,3226.75,180,166,3227.28,3227.25,13.75,20,"12/31/2019 01:10"
"372","12/31/2019","01:15",3226.75,3226.75,3225.75,3225.75,108,663,3227.11,3227.17,16.5,20,"12/31/2019 01:15"
"373","12/31/2019","01:20",3226,3226,3225.75,3226,182,30,3226.97,3227.11,19.07,20,"12/31/2019 01:20"
"374","12/31/2019","01:25",3225.75,3226,3224.5,3224.5,125,488,3226.64,3226.97,22.67,20,"12/31/2019 01:25"
"375","12/31/2019","01:30",3224.5,3225,3224.5,3224.5,406,136,3226.31,3226.83,26.01,20,"12/31/2019 01:30"
"376","12/31/2019","01:35",3224.75,3225,3224.5,3224.5,185,166,3225.97,3226.67,29.11,20,"12/31/2019 01:35"
"377","12/31/2019","01:40",3224.75,3225,3224.5,3224.75,289,164,3225.69,3226.51,31.99,20,"12/31/2019 01:40"
"378","12/31/2019","01:45",3224.75,3225.25,3224.5,3225.25,341,95,3225.47,3226.4,33.6,20,"12/31/2019 01:45"
"379","12/31/2019","01:50",3225.5,3225.5,3225,3225,153,191,3225.22,3226.28,34.14,20,"12/31/2019 01:50"
"380","12/31/2019","01:55",3225,3225,3224.5,3224.75,152,114,3225,3226.14,35.31,20,"12/31/2019 01:55"
"381","12/31/2019","02:00",3224.75,3225.25,3224.75,3224.75,90,96,3224.89,3226,35.55,20,"12/31/2019 02:00"
"382","12/31/2019","02:05",3225,3225,3223.5,3223.75,221,707,3224.64,3225.81,37.07,20,"12/31/2019 02:05"
"383","12/31/2019","02:10",3224,3224.25,3223,3223.5,533,559,3224.53,3225.58,38.82,20,"12/31/2019 02:10"
"384","12/31/2019","02:15",3223.75,3224,3223.5,3223.75,373,177,3224.44,3225.38,40.46,20,"12/31/2019 02:15"
"385","12/31/2019","02:20",3223.5,3224.25,3223.5,3224,317,109,3224.39,3225.18,41.27,20,"12/31/2019 02:20"
"386","12/31/2019","02:25",3224.25,3224.75,3224,3224.5,375,42,3224.36,3225.03,40.75,20,"12/31/2019 02:25"
"387","12/31/2019","02:30",3224.75,3225.25,3224.5,3225,198,95,3224.33,3224.9,39.19,20,"12/31/2019 02:30"
